ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
37	"ENSG00000012817.16"	"KDM5D"	chrY	-	19715351	19715499	19710375	19710472	19715614	19715739	37	12	1			297	149	NA	NA	0.858		NA
39	"ENSG00000012817.16"	"KDM5D"	chrY	-	19739527	19739662	19735620	19735750	19741317	19741488	39	37	0			284	149	NA	NA	1.0		NA
40	"ENSG00000012817.16"	"KDM5D"	chrY	-	19741317	19741488	19739527	19739662	19741734	19741857	40	58	0			298	149	NA	NA	1.0		NA
41	"ENSG00000012817.16"	"KDM5D"	chrY	-	19741734	19741857	19741317	19741488	19743161	19743239	41	32	0			272	149	NA	NA	1.0		NA
45	"ENSG00000131002.13"	"TXLNGY"	chrY	+	19598551	19598639	19597356	19597665	19599738	19599831	45	0	13			237	149	NA	NA	0.0		NA
77	"ENSG00000183878.16"	"UTY"	chrY	-	13251016	13251187	13248378	13249882	13260277	13260404	77	10	0			298	149	NA	NA	1.0		NA
78	"ENSG00000183878.16"	"UTY"	chrY	-	13306037	13306112	13305398	13305547	13306185	13306250	78	11	0			224	149	NA	NA	1.0		NA
79	"ENSG00000183878.16"	"UTY"	chrY	-	13334217	13334340	13326220	13326350	13335562	13336335	79	0	16			272	149	NA	NA	0.0		NA
80	"ENSG00000183878.16"	"UTY"	chrY	-	13335562	13336335	13326220	13326350	13355002	13355398	80	20	2			298	149	NA	NA	0.833		NA
91	"ENSG00000183878.16"	"UTY"	chrY	-	13470120	13470229	13449016	13449066	13479253	13479317	91	37	1			258	149	NA	NA	0.955		NA
132	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154460156	154460777	154458280	154458428	154461098	154461638	132	28	0			298	149	NA	NA	1.0		NA
133	"ENSG00000203879.12"	"GDI1"	chrX	+	154438215	154438386	154437165	154437299	154438522	154438630	133	2	26			298	149	NA	NA	0.037		NA
134	"ENSG00000203879.12"	"GDI1"	chrX	+	154439709	154439797	154439005	154439140	154439940	154440189	134	0	65			237	149	NA	NA	0.0		NA
135	"ENSG00000147403.18"	"RPL10"	chrX	+	154400463	154400626	154399802	154399941	154400701	154400811	135	228	5			298	149	NA	NA	0.958		NA
