SpliceID	Histology
A5SS=TMC4:54163653-54163887_54163723-54163887_54163032-54163159_inclusion	Atypical teratoid rhabdoid tumor
SE=KLC1:103684986-103685036_103679308-103679518_103685637-103685702_inclusion	Atypical teratoid rhabdoid tumor
SE=ILK:6604853-6604943_6604179-6604360_6608393-6608489_inclusion	Atypical teratoid rhabdoid tumor
SE=CTBP2:125122657-125122868_125110996-125111093_125160318-125160520_inclusion	Atypical teratoid rhabdoid tumor
SE=ZNF254:24091901-24092015_24087175-24087337_24106547-24106643_inclusion	Atypical teratoid rhabdoid tumor
SE=NPIPB4:21851770-21851855_21847412-21847541_21857258-21857416_inclusion	Atypical teratoid rhabdoid tumor
A5SS=LMX1B:126695839-126696003_126695838-126695982_126696293-126701032_inclusion	Atypical teratoid rhabdoid tumor
SE=IP6K2:48711367-48711459_48695089-48695421_48715314-48715527_inclusion	Atypical teratoid rhabdoid tumor
RI=LTK:41504342-41504640_41504341-41504432_41504505-41504640_inclusion	Atypical teratoid rhabdoid tumor
SE=GPRASP1:102652175-102652265_102651365-102651595_102653220-102653298_inclusion	Atypical teratoid rhabdoid tumor
SE=C10orf95-AS1:102452090-102452187_102450630-102451018_102455336-102456267_inclusion	Atypical teratoid rhabdoid tumor
SE=SLC38A4:46803603-46803794_46792952-46793183_46825902-46825997_inclusion	Atypical teratoid rhabdoid tumor
SE=ZNF521:25327406-25327448_25322007-25322187_25352004-25352170_inclusion	Atypical teratoid rhabdoid tumor
SE=NBPF15:144440402-144440581_144440140-144440295_144448774-144448916_inclusion	Atypical teratoid rhabdoid tumor
SE=ZNF195:3369357-3369502_3360477-3360565_3370974-3371070_inclusion	Atypical teratoid rhabdoid tumor
SE=TESMIN:68744991-68745111_68736131-68738788_68747207-68747366_inclusion	Atypical teratoid rhabdoid tumor
SE=FGFR1:38458847-38458969_38457355-38457534_38467671-38467900_inclusion	Atypical teratoid rhabdoid tumor
SE=EP400:132021079-132021321_132020048-132020218_132023776-132023941_inclusion	Atypical teratoid rhabdoid tumor
SE=AKAP6:32693627-32693716_32678310-32678459_32695989-32696110_inclusion	Atypical teratoid rhabdoid tumor
SE=TJP2:69185087-69185204_69174376-69174432_69212547-69212601_inclusion	Atypical teratoid rhabdoid tumor
SE=TRO:54923830-54923946_54922217-54922291_54924450-54924555_inclusion	Atypical teratoid rhabdoid tumor
SE=CCDC18-AS1:93315149-93315269_93264646-93264772_93324634-93324691_inclusion	Atypical teratoid rhabdoid tumor
SE=OTX2-AS1:56898268-56898345_56813182-56813469_56951376-56951521_inclusion	Atypical teratoid rhabdoid tumor
SE=CELF4:37259181-37259264_37253766-37253938_37264673-37264757_inclusion	Atypical teratoid rhabdoid tumor
SE=ENSG00000268362:24034523-24034712_24033506-24033621_24036252-24036382_inclusion	Atypical teratoid rhabdoid tumor
SE=PAQR6:156247510-156247632_156246689-156246756_156247956-156248056_inclusion	Atypical teratoid rhabdoid tumor
SE=VEPH1:157493187-157493293_157470418-157470529_157495211-157495506_inclusion	Atypical teratoid rhabdoid tumor
SE=LRAT:154748189-154748388_154744325-154744866_154748983-154749180_inclusion	Atypical teratoid rhabdoid tumor
SE=SHARPIN:144099081-144099205_144098632-144098994_144099276-144099322_inclusion	Atypical teratoid rhabdoid tumor
SE=RTF2:56516935-56516989_56513314-56513428_56517105-56517201_inclusion	Atypical teratoid rhabdoid tumor
SE=POMGNT2:43085936-43086035_43079258-43081536_43105835-43105858_inclusion	Atypical teratoid rhabdoid tumor
SE=WWC1:168412005-168412129_168409921-168409995_168414347-168414590_inclusion	Atypical teratoid rhabdoid tumor
SE=ZNF160:53085809-53086109_53075056-53075183_53086261-53086321_inclusion	Atypical teratoid rhabdoid tumor
SE=PHC2:33333844-33333932_33332274-33332404_33334089-33334292_inclusion	Atypical teratoid rhabdoid tumor
SE=USP42:6128138-6128230_6115322-6115523_6135840-6135951_inclusion	Atypical teratoid rhabdoid tumor
SE=ZSCAN18:58092450-58092568_58090232-58090386_58098114-58098228_inclusion	Atypical teratoid rhabdoid tumor
A3SS=ZNF584:58415793-58415940_58415818-58415940_58415523-58415646_inclusion	Atypical teratoid rhabdoid tumor
SE=LINC00595:78210845-78210998_78179195-78179246_78213813-78214015_inclusion	Atypical teratoid rhabdoid tumor
SE=LPIN1:11741349-11741428_11713755-11713812_11765532-11765733_inclusion	Atypical teratoid rhabdoid tumor
SE=DCDC1:31215170-31215263_31137691-31137784_31241449-31241616_inclusion	Atypical teratoid rhabdoid tumor
A3SS=NUDT13:73126635-73126827_73126672-73126827_73125117-73125243_inclusion	Atypical teratoid rhabdoid tumor
SE=CHCHD6:126780340-126780430_126733077-126733222_126852643-126852730_inclusion	Atypical teratoid rhabdoid tumor
SE=KCNQ2:63434213-63434435_63433677-63433903_63438624-63438720_inclusion	Atypical teratoid rhabdoid tumor
A5SS=CATSPERG:38369972-38370073_38369971-38370064_38370158-38370258_inclusion	Atypical teratoid rhabdoid tumor
A3SS=PPFIA1:70372212-70372390_70372214-70372390_70365372-70365435_inclusion	Atypical teratoid rhabdoid tumor
SE=CLCN5:50050283-50050413_50042337-50042462_50054439-50054633_inclusion	Atypical teratoid rhabdoid tumor
SE=RTF2:56471614-56471669_56468678-56468766_56472325-56472415_inclusion	Atypical teratoid rhabdoid tumor
SE=MACF1:39103189-39103312_39083126-39084438_39231181-39231243_inclusion	Atypical teratoid rhabdoid tumor
SE=MAST4:66902649-66902736_66899950-66899982_66986443-66986523_inclusion	Atypical teratoid rhabdoid tumor
SE=ENSG00000259275:96361142-96361289_96354350-96354512_96394306-96395016_inclusion	Atypical teratoid rhabdoid tumor
SE=IP6K2:48711367-48711459_48695089-48695418_48715314-48715527_inclusion	Atypical teratoid rhabdoid tumor
SE=IMMP2L:111391838-111392019_110963499-110963565_111392801-111392915_inclusion	Atypical teratoid rhabdoid tumor
SE=VRK2:58048527-58048587_58046714-58046821_58048826-58048967_inclusion	Atypical teratoid rhabdoid tumor
SE=CEP57L1:109100192-109100286_109095152-109095575_109140420-109140675_inclusion	Atypical teratoid rhabdoid tumor
SE=CYFIP2:157277059-157277173_157266138-157266195_157285338-157285478_inclusion	Atypical teratoid rhabdoid tumor
SE=CRY1:107042950-107043178_107022083-107022192_107092803-107093549_inclusion	Atypical teratoid rhabdoid tumor
SE=VEPH1:157499395-157499656_157495211-157495506_157503276-157503416_inclusion	Atypical teratoid rhabdoid tumor
SE=FAM174B:92787964-92788140_92699039-92699163_92809645-92809861_inclusion	Atypical teratoid rhabdoid tumor
A5SS=HNRNPA1:54283079-54283234_54283078-54283225_54283826-54283967_inclusion	Atypical teratoid rhabdoid tumor
SE=PTK2:140948666-140948723_140925660-140925749_140983841-140984155_inclusion	Atypical teratoid rhabdoid tumor
SE=KIAA1191:176357176-176357273_176355570-176355749_176359810-176359918_inclusion	Atypical teratoid rhabdoid tumor
SE=LINC01844:142746478-142746585_142745575-142745718_142756733-142756830_inclusion	Atypical teratoid rhabdoid tumor
SE=RHOH:40240128-40240345_40197032-40197300_40242713-40242801_inclusion	Atypical teratoid rhabdoid tumor
SE=ENSG00000286023:121999225-121999495_121979570-121979816_122025863-122025937_inclusion	Atypical teratoid rhabdoid tumor
SE=LINC01184:128064737-128064850_128061143-128061244_128076946-128077093_inclusion	Atypical teratoid rhabdoid tumor
A3SS=TPGS2:36818894-36818992_36818893-36818973_36823802-36823871_inclusion	Atypical teratoid rhabdoid tumor
SE=TFG:100710971-100711068_100709352-100709431_100713642-100713869_inclusion	Atypical teratoid rhabdoid tumor
RI=C12orf56:64274901-64275372_64274900-64274975_64275297-64275372_inclusion	Atypical teratoid rhabdoid tumor
SE=MIR100HG:122234281-122234375_122232853-122233416_122292283-122292403_inclusion	Atypical teratoid rhabdoid tumor
SE=MYO18A:29125893-29125967_29122165-29122253_29140339-29140383_inclusion	Atypical teratoid rhabdoid tumor
SE=UNC80:209872758-209872970_209849450-209849623_209877953-209878089_skipping	Atypical teratoid rhabdoid tumor
A3SS=KIF5A:57580956-57581172_57581014-57581172_57578237-57578342_skipping	Atypical teratoid rhabdoid tumor
SE=TTYH1:54429882-54429957_54429306-54429379_54430549-54430605_skipping	Atypical teratoid rhabdoid tumor
SE=SRGAP3:9053027-9053224_9047390-9047475_9056232-9056334_skipping	Atypical teratoid rhabdoid tumor
SE=ATP8A1:42555968-42556040_42552504-42552610_42574618-42574707_skipping	Atypical teratoid rhabdoid tumor
SE=FAT1:186636585-186636914_186636024-186636235_186639721-186639783_skipping	Atypical teratoid rhabdoid tumor
SE=PYGB:25288425-25288483_25284103-25284251_25290480-25290622_skipping	Atypical teratoid rhabdoid tumor
A5SS=GMPR2:24233479-24233598_24233478-24233586_24235736-24235820_skipping	Atypical teratoid rhabdoid tumor
SE=GRAMD1C:113915701-113915838_113908957-113909120_113930713-113930832_skipping	Atypical teratoid rhabdoid tumor
SE=ZNF827:145886033-145886158_145870300-145870478_145892242-145892415_skipping	Atypical teratoid rhabdoid tumor
SE=SFMBT2:7197548-7197687_7188623-7188733_7200413-7200484_skipping	Atypical teratoid rhabdoid tumor
A5SS=ZDHHC23:113948686-113948963_113948685-113948734_113953699-113954410_skipping	Atypical teratoid rhabdoid tumor
SE=ATF2:175111568-175111654_175097443-175097593_175114689-175114868_skipping	Atypical teratoid rhabdoid tumor
SE=ATF2:175113994-175114108_175097443-175097593_175114689-175114868_skipping	Atypical teratoid rhabdoid tumor
SE=PRKCZ:2144210-2144341_2135261-2135347_2146026-2146086_skipping	Atypical teratoid rhabdoid tumor
RI=PMEL:55956949-55957671_55956948-55957059_55957185-55957671_skipping	Atypical teratoid rhabdoid tumor
SE=FXR2:7595824-7595994_7594374-7594757_7601408-7601436_skipping	Atypical teratoid rhabdoid tumor
SE=CFAP65:219031489-219031658_219031105-219031196_219032469-219032572_skipping	Atypical teratoid rhabdoid tumor
SE=TRMT1:13115997-13116052_13115625-13115768_13116145-13116340_skipping	Atypical teratoid rhabdoid tumor
A3SS=CFAP47:35975147-35975363_35975244-35975363_35971868-35971965_skipping	Atypical teratoid rhabdoid tumor
SE=ALG1L:125930557-125930629_125928688-125929567_125933574-125933696_skipping	Atypical teratoid rhabdoid tumor
SE=FBN3:8146127-8146225_8144876-8144972_8147103-8147186_skipping	Atypical teratoid rhabdoid tumor
SE=FER1L4:35578836-35578967_35576785-35576828_35579055-35579114_skipping	Atypical teratoid rhabdoid tumor
SE=MEG3:100845458-100845533_100835719-100836300_100860690-100860816_skipping	Atypical teratoid rhabdoid tumor
A5SS=DOCK7:62513444-62513606_62513470-62513606_62510576-62510673_skipping	Atypical teratoid rhabdoid tumor
SE=ACTR1B:97661882-97661946_97660570-97660646_97663842-97663916_skipping	Atypical teratoid rhabdoid tumor
SE=STPG1:24383902-24384003_24379272-24379823_24401318-24401456_skipping	Atypical teratoid rhabdoid tumor
SE=MCRIP2:642120-642249_641827-642043_647416-647544_skipping	Atypical teratoid rhabdoid tumor
SE=AKT2:40238905-40238973_40237968-40238091_40240044-40240110_skipping	Atypical teratoid rhabdoid tumor
SE=GPS1:82052375-82052459_82051499-82051524_82053273-82053366_skipping	Atypical teratoid rhabdoid tumor
SE=AKT1:104793127-104793210_104792597-104792722_104795010-104795044_skipping	Atypical teratoid rhabdoid tumor
SE=REX1BD:18589413-18589683_18588994-18589077_18592107-18592337_skipping	Atypical teratoid rhabdoid tumor
SE=PLEKHA4:48867537-48867626_48865502-48865610_48868082-48868454_skipping	Atypical teratoid rhabdoid tumor
SE=RTKN:74428268-74428396_74427168-74427273_74428847-74428942_skipping	Atypical teratoid rhabdoid tumor
SE=GET3:12745377-12745525_12738510-12738658_12747196-12747304_skipping	Atypical teratoid rhabdoid tumor
SE=NISCH:52477574-52477642_52476297-52476599_52478096-52478282_skipping	Atypical teratoid rhabdoid tumor
SE=ATP8A1:42616033-42616078_42600477-42600518_42624535-42624634_skipping	Atypical teratoid rhabdoid tumor
A5SS=TLE2:3019283-3019773_3019698-3019773_3017839-3017859_skipping	Atypical teratoid rhabdoid tumor
SE=RNF123:49691425-49691509_49691129-49691247_49697142-49697204_skipping	Atypical teratoid rhabdoid tumor
SE=ENSG00000285245:133107988-133108406_133107084-133107300_133108672-133108866_skipping	Atypical teratoid rhabdoid tumor
SE=RNF216:5740973-5741644_5730714-5730817_5752845-5752979_skipping	Atypical teratoid rhabdoid tumor
SE=CAND1:67310152-67310316_67309900-67310070_67311692-67311800_skipping	Atypical teratoid rhabdoid tumor
SE=METTL26:635612-635774_634888-635063_636093-636235_skipping	Atypical teratoid rhabdoid tumor
SE=NDRG4:58487756-58487850_58463630-58463797_58494963-58495008_skipping	Atypical teratoid rhabdoid tumor
SE=CYP4F12:15678261-15678329_15673528-15673727_15680243-15680297_skipping	Atypical teratoid rhabdoid tumor
SE=KAT2B:20095263-20095408_20072332-20072459_20099861-20099954_skipping	Atypical teratoid rhabdoid tumor
SE=AGL:99912405-99912517_99910711-99910847_99913526-99913738_skipping	Atypical teratoid rhabdoid tumor
SE=PPP2R3C:35096709-35096764_35096557-35096633_35099251-35099384_skipping	Atypical teratoid rhabdoid tumor
A3SS=TDRKH:151779103-151779242_151779102-151779207_151779950-151780140_skipping	Atypical teratoid rhabdoid tumor
SE=SYT6:114097748-114097877_114093734-114093803_114099093-114099265_skipping	Atypical teratoid rhabdoid tumor
SE=LSM11:157754004-157754087_157751389-157751529_157754853-157760709_skipping	Atypical teratoid rhabdoid tumor
SE=VPS13D:12338231-12338305_12335704-12335827_12341779-12341885_skipping	Atypical teratoid rhabdoid tumor
SE=ALG8:78104356-78104453_78103294-78104052_78106806-78106912_skipping	Atypical teratoid rhabdoid tumor
SE=FHOD3:36611952-36612095_36602673-36602768_36625510-36625749_skipping	Atypical teratoid rhabdoid tumor
SE=YKT6:44207388-44207492_44206384-44206485_44208132-44208198_skipping	Atypical teratoid rhabdoid tumor
SE=RECQL5:75660955-75661066_75658297-75658460_75662478-75662997_skipping	Atypical teratoid rhabdoid tumor
SE=ZBTB17:15946935-15947123_15946153-15946316_15948290-15948497_skipping	Atypical teratoid rhabdoid tumor
SE=DLG4:7192945-7193117_7191266-7191358_7193482-7193584_skipping	Atypical teratoid rhabdoid tumor
SE=TUB:8094046-8094189_8090068-8090231_8095497-8095665_skipping	Atypical teratoid rhabdoid tumor
SE=TUB:8095498-8095665_8090068-8090231_8096684-8096806_skipping	Atypical teratoid rhabdoid tumor
